RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;PVV (Partij voor de Vrijheid);CDA;Democraten 66 (D66);GROENLINKS;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;Forum voor Democratie;VNL (VoorNederland);Piratenpartij;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP)	
Borne;G0147;10326;Zwolle;K4;17477;15048;20;13;15015;3420;1639;3576;1839;952;1506;775;233;248;347;33;53;245;51;47;0;15;11;11;5;4;4;;1;;;;	
Borsele;G0654;10043;Middelburg;K16;17270;14515;23;15;14477;2752;1650;2459;1026;665;1129;635;507;359;491;2399;4;252;52;43;4;6;12;10;;7;12;;1;2;;0;	
Boxmeer;G0756;11227;'s-Hertogenbosch;K18;22435;19667;29;21;19617;3960;1933;3416;1878;1073;5406;649;104;297;353;20;94;226;62;60;1;17;30;8;9;9;7;;1;3;;1;	
Boxtel;G0757;10083;'s-Hertogenbosch;K18;23493;18742;48;36;18658;4274;2306;2511;2487;1588;2676;930;160;463;569;18;194;266;59;57;6;15;28;14;16;7;6;;2;5;;1;	
Breda;G0758;10154;Tilburg;K17;138849;110985;290;174;110521;30141;12759;10498;16528;11567;10498;5325;1102;3719;2771;158;2132;1788;341;462;122;152;121;103;57;44;44;32;36;13;;8;	
Brielle;G0501;10232;Dordrecht;K14;13340;11122;19;26;11077;3160;1964;1202;1069;604;953;605;151;329;419;50;16;352;60;35;5;41;22;6;8;12;4;6;1;1;;2;	
Bronckhorst;G1876;11159;Arnhem;K7;29178;24634;45;21;24568;6323;2253;5227;2850;1486;2272;1467;512;592;734;225;25;326;80;36;10;28;44;17;6;14;3;13;6;5;12;2;	
Brummen;G0213;10798;Arnhem;K7;16723;13880;35;12;13833;3199;1669;1712;1671;1152;1506;1073;246;406;487;57;267;214;55;34;2;16;19;12;8;8;7;2;2;1;8;0;	
Brunssum;G0899;10533;Maastricht;K19;22893;17491;23;36;17432;2235;4611;1953;1262;949;3224;739;223;577;955;45;88;322;74;59;18;29;27;;16;12;7;;5;2;;;	
Bunnik;G0312;10820;Utrecht;K8;11508;10286;12;7;10267;2505;798;1494;1700;1362;462;685;328;310;206;161;14;136;16;32;8;14;9;;2;12;7;1;3;1;1;0;	
Bunschoten;G0313;11343;Utrecht;K8;15321;13542;47;12;13483;2040;1775;3342;342;258;310;169;3428;98;242;1015;95;223;29;26;4;6;5;;4;0;2;63;0;1;5;1;	
Buren;G0214;11286;Nijmegen;K6;20481;17165;25;25;17115;4801;3020;2077;1567;780;1096;913;465;406;569;886;12;356;66;20;3;23;30;7;0;3;5;6;2;1;;1;	
